Kanji,HanViet,nghĩa
部,BỘ,bộ phận
都,ĐÔ,đô thị
阝,BỘ PHỤ,
院,VIỆN,bệnh viện
忄,BỘ TÂM,
心,TÂM,tâm hồn
忙,MANG,bận rộn
忘,VONG,quên
念,NIỆM,kỉ niệm
性,TÍNH,tính cách
思,TƯ,suy tư
恋,LUYẾN,yêu
悪,ÁC,xấu xa
意,Ý,ý chí
戸,BỘ HỘ,
戻,LỆ,quay lại
所,SỞ,"nơi, chỗ"
手,THỦ,tay
才,TÀI,"tuổi, tài năng"
扌,BỘ THỦ,
払,PHẤT,trả tiền
押,ÁP,"đè, ấn"
持,TRÌ,"cầm, nắm"
拾,THẬP,thu nhặt
捨,XẢ,vứt bỏ
授,THỤ,giờ học
攵,BỘ PHỘC,
故,CỐ,sự cố
教,GIÁO,giáo dục
散,TẢN,tản bộ
数,SỐ,số đếm
文,VĂN,văn học
料,LIỆU,vật liệu
斤,BỘ CÂN,
新,TÂN,mới
方,PHƯƠNG,phương hướng
旅,LỮ,du lịch
族,TỘC,dòng tộc
日,NHẬT,ngày
早,TẢO,sớm
易,DỊCH,dễ
明,MINH,sáng
映,ÁNH,ảnh họa (phim)
昨,TẠC,đã qua
春,XUÂN,mùa xuân
昼,TRÚ,buổi trưa
時,THỜI,thời gian
暑,THỬ,nóng (thời tiết)
晩,VÃN,buổi tối
暗,ÁM,"tối, u ám"
