Kanji,HanViet,nghĩa
巾,CÂN,
市,THỊ,thị trường
布,BỐ,vải
師,SƯ,giáo sư
帰,QUY,trở về
席,TỊCH,chỗ ngồi
帳,TRƯỚNG,thủ trướng (sổ tay)
年,NIÊN,năm
广,BỘ NGHIỄM,
広,QUẢNG,rộng
店,ĐIẾM,cửa hàng
度,ĐỘ,lần
座,TỌA,ngồi
庭,ĐÌNH,cái sân
廴,BỘ DẪN,
建,KIẾN,kiến trúc
式,THỨC,hình thức
弓,BỘ CUNG,
引,DẪN,kéo
弟,ĐỆ,em trai
弱,NHƯỢC,yếu
強,CƯỜNG,mạnh
張,TRƯƠNG,căng ra
彡,BỘ SAM,
形,HÌNH,hình dáng
彳,BỘ SÁCH,
彼,BỈ,anh ta
後,HẬU,phía sau
待,ĐÃI,chiêu đãi
復,PHỤC,phục hồi
艹,BỘ THẢO,
花,HOA,bông hoa
英,ANH,tiếng anh
苦,KHỔ,cực khổ
茶,TRÀ,trà
荷,HÀ,hành lí
菓,QUẢ,bánh kẹo
薬,DƯỢC,thuốc
辶,BỘ XƯỚC,
近,CẬN,gần
返,PHẢN,phản hồi
送,TỐNG,"gửi, tiễn"
通,THÔNG,giao thông
速,TỐC,nhanh
週,CHU,tuần
遊,DU,vui chơi
運,VẬN,vận chuyển
道,ĐẠO,con đường
遅,TRÌ,"chậm, trễ"
阝,BỘ ẤP,
