Kanji,HanViet,nghĩa
写,TẢ,miêu tả
冷,LÃNH,lạnh
出,XUẤT,đi ra
刀,ĐAO,con dao
切,THIẾT,cắt
分,PHÂN,phân chia
刂,BỘ ĐAO,
列,LIỆT,hàng lối
利,LỢI,tiện lợi
前,TIỀN,phía trước
力,LỰC,sức lực
勉,MIỄN,miễn cưỡng (việc học)
動,ĐỘNG,vận động
務,VỤ,sự vụ
匕,BỘ TRỦY,
化,HÓA,hóa học
北,BẮC,phía Bắc
区,KHU,khu vực
医,Y,y học
十,THẬP,mười
千,THIÊN,một ngàn
午,NGỌ,giữa trưa
半,BÁN,một nửa
卒,TỐT,tốt nghiệp
南,NAM,phía Nam
去,KHỨ,quá khứ
又,BỘ HỰU,
友,HỮU,bạn bè
取,THỦ,lấy
受,THỤ,nhận
口,KHẨU,miệng
古,CỔ,cũ
号,HIỆU,số hiệu
台,ĐÀI,cái bục
右,HỮU,bên phải
吸,HẤP,"hút, hít"
合,HỢP,hòa hợp
同,ĐỒNG,giống nhau
名,DANH,danh tiếng
呼,HÔ,gọi
員,VIÊN,nhân viên
問,VẤN,vấn đề
喫,KHIẾT,ăn uống
四,TỨ,bốn
回,HỒI,lần
図,ĐỒ,bản đồ
国,QUỐC,đất nước
園,VIÊN,công viên
土,THỔ,đất
地,ĐỊA,địa lý
